Municipality,Canton,TLS,correct redirect,people
Kirchlindach,BE,True,True,3004
Köniz,BE,True,True,41507
Konolfingen,BE,True,True,5292
Koppigen,BE,False,False,2092
Krattigen,BE,True,False,1128
Krauchthal,BE,False,False,2333
Kriechenwil,BE,False,False,420
La Ferrière,BE,False,False,542
La Neuveville,BE,False,False,3698
Landiswil,BE,False,False,628
Langenthal,BE,False,False,15639
Langnau im Emmental,BE,True,True,9419
Lauenen,BE,False,False,829
Laupen,BE,False,False,3093
Lauperswil,BE,False,False,2629
Lauterbrunnen,BE,False,False,2350
Leissigen,BE,False,False,1079
Lengnau (BE),BE,True,True,5195
Lenk,BE,False,False,2336
Leuzigen,BE,True,True,1254
Ligerz,BE,True,False,566
Linden,BE,False,False,1281
Lohnstorf,BE,False,False,225
Lotzwil,BE,False,False,2555
Loveresse,BE,True,True,325
Lüscherz,BE,True,True,545
Lütschental,BE,False,False,219
Lützelflüh,BE,True,False,4165
Lyss,BE,False,False,14887
Lyssach,BE,False,False,1424
Madiswil,BE,False,False,3279
Matten bei Interlaken,BE,True,True,4071
Mattstetten,BE,False,False,573
Meienried,BE,True,True,53
Meikirch,BE,False,False,2499
Meinisberg,BE,False,False,1309
Meiringen,BE,False,False,4690
Melchnau,BE,False,False,1536
Merzligen,BE,False,False,400
Mirchel,BE,False,False,630
Mont-Tramelan,BE,True,True,118
Moosseedorf,BE,False,False,4114
Mörigen,BE,True,True,891
Mötschwil,BE,True,True,127
Moutier,BE,False,False,7477
Mühleberg,BE,False,False,2974
Mühlethurnen,BE,True,True,1378
Münchenbuchsee,BE,False,False,10079
Münchenwiler,BE,True,True,514
Münsingen,BE,True,True,12533
Müntschemier,BE,True,False,1396
Muri bei Bern,BE,False,False,13058
Neuenegg,BE,False,False,5543
Nidau,BE,True,True,6827
Niederbipp,BE,False,False,4717
Niederhünigen,BE,True,True,614
Niedermuhlern,BE,False,False,499
Niederönz,BE,True,True,1675
Niederried bei Interlaken,BE,False,False,348
Nods,BE,False,False,761
Oberbalm,BE,False,False,869
Oberbipp,BE,True,True,1733
Oberburg,BE,False,False,2917
Oberdiessbach,BE,False,False,3523
Oberhofen am Thunersee,BE,False,False,2415
Oberhünigen,BE,False,False,308
Oberlangenegg,BE,True,False,475
Oberried am Brienzersee,BE,True,False,476
Obersteckholz,BE,False,False,412
Oberthal,BE,False,False,731
Oberwil bei Büren,BE,True,True,856
Oberwil im Simmental,BE,False,False,797
Ochlenberg,BE,True,True,563
Oeschenbach,BE,True,True,240
Oppligen,BE,False,False,644
Orpund,BE,True,False,2734
Orvin,BE,True,True,1204
Ostermundigen,BE,False,False,17546
Perrefitte,BE,False,False,460
Péry-La Heutte,BE,True,True,1933
Petit-Val,BE,True,False,408
Pieterlen,BE,True,False,4225
Plateau de Diesse,BE,False,False,2067
Pohlern,BE,True,False,257
Port,BE,False,False,3624
Radelfingen,BE,False,False,1266
Rapperswil (BE),BE,False,False,2659
Rebévelier,BE,True,True,42
Reconvilier,BE,False,False,2308
Reichenbach im Kandertal,BE,True,True,3616
Reisiswil,BE,True,True,177
Renan (BE),BE,False,False,923
